Ion_Name,Charge,Multiplier,Mass
M+4H,4+,0.25,4.029104
M+3H+Na,4+,0.25,26.011046
M+2H+2Na,4+,0.25,47.992988
M+1H+3Na,4+,0.25,69.97493
M+4Na,4+,0.25,91.956872
M+3H ,3+,0.3333333,3.021828
M+2H+Na ,3+,0.3333333,25.00377
M+H+2Na ,3+,0.3333333,46.985712
M+3Na ,3+,0.3333333,68.967654
M+2H ,2+,0.5,2.014552
M+H+NH4 ,2+,0.5,19.04165
M+H+Na ,2+,0.5,23.996494
M+H+K ,2+,0.5,39.97043542
M+ACN+2H,2+,0.5,43.041101
M+2Na ,2+,0.5,45.978436
M+2ACN+2H,2+,0.5,43.041101
M+3ACN+2H,2+,0.5,125.094199
M+H ,1+,1,1.007276
M+NH4 ,1+,1,18.034374
M+Na ,1+,1,22.989218
M+CH3OH+H ,1+,1,33.033491
M+K ,1+,1,38.96315942
M+ACN+H ,1+,1,42.033825
M+2Na-H ,1+,1,44.97116
M+IsoProp+H,1+,1,61.064791
M+ACN+Na ,1+,1,64.015767
M+2K+H ,1+,1,78.934692
M+DMSO+H ,1+,1,79.021213
M+2ACN+H ,1+,1,83.060374
M+IsoProp+Na+H,1+,1,84.05455758
2M+H ,1+,2,1.007276
2M+NH4 ,1+,2,18.03382542
2M+Na ,1+,2,22.989218
2M+3H2O+2H,2+,2,56.046247
2M+K ,1+,2,38.96315942
2M+ACN+H ,1+,2,42.033825
2M+ACN+Na ,1+,2,64.015767
